Label,Value,Region
Russian Federation,143826130,Europe & Central Asia
Turkiye,85325965,Europe & Central Asia
Germany,83280000,Europe & Central Asia
United Kingdom,68350000,Europe & Central Asia
France,68287487,Europe & Central Asia
Italy,58993475,Europe & Central Asia
Spain,48347910,Europe & Central Asia
Ukraine,37732836,Europe & Central Asia
Poland,36687353,Europe & Central Asia
Uzbekistan,35652307,Europe & Central Asia
Kazakhstan,20330104,Europe & Central Asia
Romania,19059479,Europe & Central Asia
Netherlands,17877117,Europe & Central Asia
Belgium,11787423,Europe & Central Asia
Czechia,10864042,Europe & Central Asia
Portugal,10578174,Europe & Central Asia
Sweden,10536632,Europe & Central Asia
Greece,10405588,Europe & Central Asia
