Label,,,,Value,
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2384463611,
South Asia,SAS,"Population, total",SP.POP.TOTL,1951539835,
India,IND,"Population, total",SP.POP.TOTL,1438069596,South Asia
China,CHN,"Population, total",SP.POP.TOTL,1410710000,East Asia & Pacific
High income,HIC,"Population, total",SP.POP.TOTL,1400465513,
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1259902353,
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,924969865,
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,750503764,
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,657611624,
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,509398589,
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,508311359,
Arab World,ARB,"Population, total",SP.POP.TOTL,481667539,
North America,NAC,"Population, total",SP.POP.TOTL,375077354,
Euro area,EMU,"Population, total",SP.POP.TOTL,349670802,
United States,USA,"Population, total",SP.POP.TOTL,334914895,North America
Indonesia,IDN,"Population, total",SP.POP.TOTL,281190067,East Asia & Pacific
Pakistan,PAK,"Population, total",SP.POP.TOTL,247504495,South Asia
Nigeria,NGA,"Population, total",SP.POP.TOTL,227882945,Sub-Saharan Africa
Brazil,BRA,"Population, total",SP.POP.TOTL,211140729,Latin America & Caribbean
Bangladesh,BGD,"Population, total",SP.POP.TOTL,171466990,South Asia
Russian Federation,RUS,"Population, total",SP.POP.TOTL,143826130,Europe & Central Asia
Mexico,MEX,"Population, total",SP.POP.TOTL,129739759,Latin America & Caribbean
Ethiopia,ETH,"Population, total",SP.POP.TOTL,128691692,Sub-Saharan Africa
Japan,JPN,"Population, total",SP.POP.TOTL,124516650,East Asia & Pacific
Philippines,PHL,"Population, total",SP.POP.TOTL,114891199,East Asia & Pacific
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,114535772,Middle East & North Africa
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,105789731,Sub-Saharan Africa
Viet Nam,VNM,"Population, total",SP.POP.TOTL,100352192,East Asia & Pacific
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,100175859,
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,90608707,Middle East & North Africa
Turkiye,TUR,"Population, total",SP.POP.TOTL,85325965,Europe & Central Asia
Germany,DEU,"Population, total",SP.POP.TOTL,83280000,Europe & Central Asia
Thailand,THA,"Population, total",SP.POP.TOTL,71702435,East Asia & Pacific
United Kingdom,GBR,"Population, total",SP.POP.TOTL,68350000,Europe & Central Asia
France,FRA,"Population, total",SP.POP.TOTL,68287487,Europe & Central Asia
Tanzania,TZA,"Population, total",SP.POP.TOTL,66617606,Sub-Saharan Africa
South Africa,ZAF,"Population, total",SP.POP.TOTL,63212384,Sub-Saharan Africa
Italy,ITA,"Population, total",SP.POP.TOTL,58993475,Europe & Central Asia
Kenya,KEN,"Population, total",SP.POP.TOTL,55339003,Sub-Saharan Africa
Myanmar,MMR,"Population, total",SP.POP.TOTL,54133798,East Asia & Pacific
Colombia,COL,"Population, total",SP.POP.TOTL,52321152,Latin America & Caribbean
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51712619,East Asia & Pacific
Sudan,SDN,"Population, total",SP.POP.TOTL,50042791,Sub-Saharan Africa
Uganda,UGA,"Population, total",SP.POP.TOTL,48656601,Sub-Saharan Africa
Spain,ESP,"Population, total",SP.POP.TOTL,48347910,Europe & Central Asia
Algeria,DZA,"Population, total",SP.POP.TOTL,46164219,Middle East & North Africa
Argentina,ARG,"Population, total",SP.POP.TOTL,45538401,Latin America & Caribbean
Iraq,IRQ,"Population, total",SP.POP.TOTL,45074049,Middle East & North Africa
Afghanistan,AFG,"Population, total",SP.POP.TOTL,41454761,South Asia
Canada,CAN,"Population, total",SP.POP.TOTL,40097761,North America
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,39390799,Middle East & North Africa
Ukraine,UKR,"Population, total",SP.POP.TOTL,37732836,Europe & Central Asia
Morocco,MAR,"Population, total",SP.POP.TOTL,37712505,Middle East & North Africa
Angola,AGO,"Population, total",SP.POP.TOTL,36749906,Sub-Saharan Africa
Poland,POL,"Population, total",SP.POP.TOTL,36687353,Europe & Central Asia
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,35652307,Europe & Central Asia
Malaysia,MYS,"Population, total",SP.POP.TOTL,35126298,East Asia & Pacific
Peru,PER,"Population, total",SP.POP.TOTL,33845617,Latin America & Caribbean
Ghana,GHA,"Population, total",SP.POP.TOTL,33787914,Sub-Saharan Africa
Mozambique,MOZ,"Population, total",SP.POP.TOTL,33635160,Sub-Saharan Africa
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,33264292,Middle East & North Africa
Madagascar,MDG,"Population, total",SP.POP.TOTL,31195932,Sub-Saharan Africa
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,31165654,Sub-Saharan Africa
Nepal,NPL,"Population, total",SP.POP.TOTL,29694614,South Asia
Cameroon,CMR,"Population, total",SP.POP.TOTL,28372687,Sub-Saharan Africa
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28300854,Latin America & Caribbean
Australia,AUS,"Population, total",SP.POP.TOTL,26658948,East Asia & Pacific
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,26418204,East Asia & Pacific
Niger,NER,"Population, total",SP.POP.TOTL,26159867,Sub-Saharan Africa
Mali,MLI,"Population, total",SP.POP.TOTL,23769127,Sub-Saharan Africa
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,23594623,Middle East & North Africa
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,23025776,Sub-Saharan Africa
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,22037000,South Asia
Malawi,MWI,"Population, total",SP.POP.TOTL,21104482,Sub-Saharan Africa
Zambia,ZMB,"Population, total",SP.POP.TOTL,20723965,Sub-Saharan Africa
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,20330104,Europe & Central Asia
Small states,SST,"Population, total",SP.POP.TOTL,20253539,
Chile,CHL,"Population, total",SP.POP.TOTL,19658835,Latin America & Caribbean
Chad,TCD,"Population, total",SP.POP.TOTL,19319064,Sub-Saharan Africa
Romania,ROU,"Population, total",SP.POP.TOTL,19059479,Europe & Central Asia
Somalia,SOM,"Population, total",SP.POP.TOTL,18358615,Sub-Saharan Africa
Guatemala,GTM,"Population, total",SP.POP.TOTL,18124838,Latin America & Caribbean
Senegal,SEN,"Population, total",SP.POP.TOTL,18077573,Sub-Saharan Africa
Ecuador,ECU,"Population, total",SP.POP.TOTL,17980083,Latin America & Caribbean
Netherlands,NLD,"Population, total",SP.POP.TOTL,17877117,Europe & Central Asia
Cambodia,KHM,"Population, total",SP.POP.TOTL,17423880,East Asia & Pacific
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,16340822,Sub-Saharan Africa
Guinea,GIN,"Population, total",SP.POP.TOTL,14405468,Sub-Saharan Africa
Benin,BEN,"Population, total",SP.POP.TOTL,14111034,Sub-Saharan Africa
Rwanda,RWA,"Population, total",SP.POP.TOTL,13954471,Sub-Saharan Africa
Burundi,BDI,"Population, total",SP.POP.TOTL,13689450,Sub-Saharan Africa
Bolivia,BOL,"Population, total",SP.POP.TOTL,12244159,Latin America & Caribbean
Tunisia,TUN,"Population, total",SP.POP.TOTL,12200431,Middle East & North Africa
Belgium,BEL,"Population, total",SP.POP.TOTL,11787423,Europe & Central Asia
Haiti,HTI,"Population, total",SP.POP.TOTL,11637398,Latin America & Caribbean
South Sudan,SSD,"Population, total",SP.POP.TOTL,11483374,Sub-Saharan Africa
Jordan,JOR,"Population, total",SP.POP.TOTL,11439213,Middle East & North Africa
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11331265,Latin America & Caribbean
Cuba,CUB,"Population, total",SP.POP.TOTL,11019931,Latin America & Caribbean
Czechia,CZE,"Population, total",SP.POP.TOTL,10864042,Europe & Central Asia
Honduras,HND,"Population, total",SP.POP.TOTL,10644851,Latin America & Caribbean
Portugal,PRT,"Population, total",SP.POP.TOTL,10578174,Europe & Central Asia
Sweden,SWE,"Population, total",SP.POP.TOTL,10536632,Europe & Central Asia
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,10483751,Middle East & North Africa
Greece,GRC,"Population, total",SP.POP.TOTL,10405588,Europe & Central Asia
