Label,Value,Region
Algeria,7531.0,Africa
Burkina Faso,6100.0,Africa
Cameroon,6200.0,Africa
Dem. Rep. of the Congo,13680.0,Africa
Egypt,3077.0,Africa
Ethiopia,16314.0,Africa
Guinea,3100.0,Africa
Kenya,5800.0,Africa
Lesotho,429.0,Africa
Liberia,500.0,Africa
Malawi,4000.0,Africa
Mali,8341.0,Africa
Morocco,7512.0,Africa
Mozambique,5650.0,Africa
Niger,17700.0,Africa
Nigeria,36872.0,Africa
Senegal,3830.0,Africa
South Africa,12000.0,Africa
South Sudan,2395.0,Africa
Sudan,20995.0,Africa
Togo,2650.0,Africa
Tunisia,2831.0,Africa
Uganda,6900.0,Africa
United Rep. of Tanzania,13503.0,Africa
Zambia,3800.0,Africa
