Label,Value,Region
China,1410710000,East Asia & Pacific
Indonesia,281190067,East Asia & Pacific
Japan,124516650,East Asia & Pacific
Philippines,114891199,East Asia & Pacific
Viet Nam,100352192,East Asia & Pacific
Thailand,71702435,East Asia & Pacific
Myanmar,54133798,East Asia & Pacific
"Korea, Rep.",51712619,East Asia & Pacific
Malaysia,35126298,East Asia & Pacific
Australia,26658948,East Asia & Pacific
"Korea, Dem. People's Rep.",26418204,East Asia & Pacific
Cambodia,17423880,East Asia & Pacific
